,FRA,FRA
hours,wind (won),solar (solEB)
526,0.162804878,0
527,0.159573171,0
528,0.138292683,0
529,0.131768293,0
530,0.12695122,0
531,0.121219512,0
532,0.114329268,0
533,0.109207317,0
534,0.106707317,0
535,0.102560976,0
536,0.096890244,0
537,0.094939024,0
538,0.092865854,0.013068182
539,0.088536585,0.056931818
540,0.084085366,0.106704545
541,0.077743902,0.143181818
542,0.078719512,0.153863636
543,0.074573171,0.13375
544,0.076463415,0.11
545,0.076707317,0.059090909
546,0.076219512,0.013409091
547,0.083719512,0
548,0.091036585,0
549,0.100243902,0
550,0.107012195,0
551,0.115060976,0
552,0.108597561,0
553,0.095792683,0
554,0.078597561,0
555,0.065792683,0
556,0.057926829,0
557,0.054573171,0
558,0.057073171,0
559,0.067621951,0
560,0.076158537,0
561,0.089634146,0.001022727
562,0.09554878,0.028522727
563,0.104634146,0.095
564,0.10195122,0.161818182
565,0.10945122,0.203068182
566,0.123841463,0.215681818
567,0.146585366,0.19
568,0.168719512,0.142386364
569,0.18304878,0.078636364
570,0.188231707,0.016136364
571,0.19,0
572,0.185609756,0
573,0.181219512,0
574,0.182134146,0
575,0.179085366,0
576,0.165609756,0
577,0.15402439,0
578,0.141768293,0
579,0.13054878,0
580,0.117317073,0
581,0.109573171,0
582,0.111402439,0
583,0.112560976,0
584,0.105853659,0
585,0.09847561,0.000568182
586,0.101280488,0.04
587,0.101463415,0.1325
588,0.098658537,0.219886364
589,0.100365854,0.279545455
590,0.111280488,0.304204545
591,0.123841463,0.291363636
592,0.134085366,0.24
593,0.147317073,0.138977273
594,0.174695122,0.032272727
595,0.20597561,0.000113636
596,0.265304878,0
597,0.312317073,0
598,0.343231707,0
599,0.361829268,0
600,0.347682927,0
601,0.342804878,0
602,0.333231707,0
603,0.303658537,0
604,0.277378049,0
605,0.277926829,0
606,0.293597561,0
607,0.277073171,0
608,0.272560976,0
609,0.247317073,0.001477273
610,0.204512195,0.035909091
611,0.175365854,0.104204545
612,0.163902439,0.17625
613,0.157256098,0.227840909
614,0.164573171,0.248522727
615,0.171158537,0.238409091
616,0.159512195,0.195795455
617,0.154207317,0.112386364
618,0.159939024,0.031136364
619,0.184512195,0.000227273
620,0.211402439,0
